query_alias,record_id,canonical_product_tr,sector,candidate_cn,cbam_scope_candidate,base_confidence,disambiguation_questions,exclusion_or_alt_triggers,notes,source_url
blum,IS-007,Çelik kütük / slab / blum,Demir-Çelik,7207|7218|7224,IN,high,"Paslanmaz mı, alaşımlı mı, alaşımsız mı? || Kesit şekli ve kimyasal bileşim nedir?",,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
celik kutuk,IS-007,Çelik kütük / slab / blum,Demir-Çelik,7207|7218|7224,IN,high,"Paslanmaz mı, alaşımlı mı, alaşımsız mı? || Kesit şekli ve kimyasal bileşim nedir?",,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
celik kutuk / slab / blum,IS-007,Çelik kütük / slab / blum,Demir-Çelik,7207|7218|7224,IN,high,"Paslanmaz mı, alaşımlı mı, alaşımsız mı? || Kesit şekli ve kimyasal bileşim nedir?",,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
slab,IS-007,Çelik kütük / slab / blum,Demir-Çelik,7207|7218|7224,IN,high,"Paslanmaz mı, alaşımlı mı, alaşımsız mı? || Kesit şekli ve kimyasal bileşim nedir?",,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
steel billet,IS-007,Çelik kütük / slab / blum,Demir-Çelik,7207|7218|7224,IN,high,"Paslanmaz mı, alaşımlı mı, alaşımsız mı? || Kesit şekli ve kimyasal bileşim nedir?",,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
yari mamul celik,IS-007,Çelik kütük / slab / blum,Demir-Çelik,7207|7218|7224,IN,high,"Paslanmaz mı, alaşımlı mı, alaşımsız mı? || Kesit şekli ve kimyasal bileşim nedir?",,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
yarı mamul çelik,IS-007,Çelik kütük / slab / blum,Demir-Çelik,7207|7218|7224,IN,high,"Paslanmaz mı, alaşımlı mı, alaşımsız mı? || Kesit şekli ve kimyasal bileşim nedir?",,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
çelik kütük,IS-007,Çelik kütük / slab / blum,Demir-Çelik,7207|7218|7224,IN,high,"Paslanmaz mı, alaşımlı mı, alaşımsız mı? || Kesit şekli ve kimyasal bileşim nedir?",,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
çelik kütük / slab / blum,IS-007,Çelik kütük / slab / blum,Demir-Çelik,7207|7218|7224,IN,high,"Paslanmaz mı, alaşımlı mı, alaşımsız mı? || Kesit şekli ve kimyasal bileşim nedir?",,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
hot rolled coil,IS-008,Sıcak haddelenmiş sac / rulo,Demir-Çelik,7208,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplı/galvanizli mi?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
hrc,IS-008,Sıcak haddelenmiş sac / rulo,Demir-Çelik,7208,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplı/galvanizli mi?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
rulo sac,IS-008,Sıcak haddelenmiş sac / rulo,Demir-Çelik,7208,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplı/galvanizli mi?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
sicak haddelenmis sac,IS-008,Sıcak haddelenmiş sac / rulo,Demir-Çelik,7208,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplı/galvanizli mi?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
sicak haddelenmis sac / rulo,IS-008,Sıcak haddelenmiş sac / rulo,Demir-Çelik,7208,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplı/galvanizli mi?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
sicak rulo,IS-008,Sıcak haddelenmiş sac / rulo,Demir-Çelik,7208,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplı/galvanizli mi?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
sicak sac,IS-008,Sıcak haddelenmiş sac / rulo,Demir-Çelik,7208,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplı/galvanizli mi?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
siyah sac,IS-008,Sıcak haddelenmiş sac / rulo,Demir-Çelik,7208,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplı/galvanizli mi?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
sıcak haddelenmiş sac,IS-008,Sıcak haddelenmiş sac / rulo,Demir-Çelik,7208,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplı/galvanizli mi?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
sıcak haddelenmiş sac / rulo,IS-008,Sıcak haddelenmiş sac / rulo,Demir-Çelik,7208,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplı/galvanizli mi?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
sıcak rulo,IS-008,Sıcak haddelenmiş sac / rulo,Demir-Çelik,7208,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplı/galvanizli mi?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
sıcak sac,IS-008,Sıcak haddelenmiş sac / rulo,Demir-Çelik,7208,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplı/galvanizli mi?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
cold rolled coil,IS-009,Soğuk haddelenmiş sac / rulo,Demir-Çelik,7209,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplı mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
crc,IS-009,Soğuk haddelenmiş sac / rulo,Demir-Çelik,7209,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplı mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
dkp sac,IS-009,Soğuk haddelenmiş sac / rulo,Demir-Çelik,7209,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplı mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
soguk haddelenmis sac,IS-009,Soğuk haddelenmiş sac / rulo,Demir-Çelik,7209,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplı mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
soguk haddelenmis sac / rulo,IS-009,Soğuk haddelenmiş sac / rulo,Demir-Çelik,7209,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplı mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
soguk rulo,IS-009,Soğuk haddelenmiş sac / rulo,Demir-Çelik,7209,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplı mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
soguk sac,IS-009,Soğuk haddelenmiş sac / rulo,Demir-Çelik,7209,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplı mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
soğuk haddelenmiş sac,IS-009,Soğuk haddelenmiş sac / rulo,Demir-Çelik,7209,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplı mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
soğuk haddelenmiş sac / rulo,IS-009,Soğuk haddelenmiş sac / rulo,Demir-Çelik,7209,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplı mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
soğuk rulo,IS-009,Soğuk haddelenmiş sac / rulo,Demir-Çelik,7209,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplı mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
soğuk sac,IS-009,Soğuk haddelenmiş sac / rulo,Demir-Çelik,7209,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplı mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
boyali sac,IS-010,Galvanizli / kaplı sac,Demir-Çelik,7210,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplama türü nedir?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
boyalı sac,IS-010,Galvanizli / kaplı sac,Demir-Çelik,7210,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplama türü nedir?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
galvaniz sac,IS-010,Galvanizli / kaplı sac,Demir-Çelik,7210,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplama türü nedir?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
galvanizli / kapli sac,IS-010,Galvanizli / kaplı sac,Demir-Çelik,7210,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplama türü nedir?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
galvanizli / kaplı sac,IS-010,Galvanizli / kaplı sac,Demir-Çelik,7210,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplama türü nedir?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
galvanizli sac,IS-010,Galvanizli / kaplı sac,Demir-Çelik,7210,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplama türü nedir?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
gi coil,IS-010,Galvanizli / kaplı sac,Demir-Çelik,7210,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplama türü nedir?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
kapli sac,IS-010,Galvanizli / kaplı sac,Demir-Çelik,7210,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplama türü nedir?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
kaplı sac,IS-010,Galvanizli / kaplı sac,Demir-Çelik,7210,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplama türü nedir?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
ppgi,IS-010,Galvanizli / kaplı sac,Demir-Çelik,7210,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplama türü nedir?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
zinc coated steel,IS-010,Galvanizli / kaplı sac,Demir-Çelik,7210,IN,high,Genişlik 600 mm veya daha fazla mı? || Kaplama türü nedir?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
celik serit,IS-011,Dar çelik şerit,Demir-Çelik,7211|7212,IN,medium,Genişlik 600 mm altında mı? || Kaplı mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
dar bant sac,IS-011,Dar çelik şerit,Demir-Çelik,7211|7212,IN,medium,Genişlik 600 mm altında mı? || Kaplı mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
dar celik serit,IS-011,Dar çelik şerit,Demir-Çelik,7211|7212,IN,medium,Genişlik 600 mm altında mı? || Kaplı mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
dar rulo,IS-011,Dar çelik şerit,Demir-Çelik,7211|7212,IN,medium,Genişlik 600 mm altında mı? || Kaplı mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
dar çelik şerit,IS-011,Dar çelik şerit,Demir-Çelik,7211|7212,IN,medium,Genişlik 600 mm altında mı? || Kaplı mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
slit coil,IS-011,Dar çelik şerit,Demir-Çelik,7211|7212,IN,medium,Genişlik 600 mm altında mı? || Kaplı mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
steel strip,IS-011,Dar çelik şerit,Demir-Çelik,7211|7212,IN,medium,Genişlik 600 mm altında mı? || Kaplı mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
çelik şerit,IS-011,Dar çelik şerit,Demir-Çelik,7211|7212,IN,medium,Genişlik 600 mm altında mı? || Kaplı mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
celik filmasin,IS-012,Filmaşin,Demir-Çelik,7213,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
filmasin,IS-012,Filmaşin,Demir-Çelik,7213,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
filmaşin,IS-012,Filmaşin,Demir-Çelik,7213,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
kangaldan cubuk,IS-012,Filmaşin,Demir-Çelik,7213,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
kangaldan çubuk,IS-012,Filmaşin,Demir-Çelik,7213,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
nervurlu filmasin,IS-012,Filmaşin,Demir-Çelik,7213,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
nervürlü filmaşin,IS-012,Filmaşin,Demir-Çelik,7213,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
wire rod,IS-012,Filmaşin,Demir-Çelik,7213,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
çelik filmaşin,IS-012,Filmaşin,Demir-Çelik,7213,IN,high,,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
beton celigi,IS-013,İnşaat demiri / nervürlü çubuk,Demir-Çelik,7214,IN,high,Kangal halinde mi yoksa düz boy mu? || Alaşımlı/paslanmaz mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
beton çeliği,IS-013,İnşaat demiri / nervürlü çubuk,Demir-Çelik,7214,IN,high,Kangal halinde mi yoksa düz boy mu? || Alaşımlı/paslanmaz mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
betonarme demiri,IS-013,İnşaat demiri / nervürlü çubuk,Demir-Çelik,7214,IN,high,Kangal halinde mi yoksa düz boy mu? || Alaşımlı/paslanmaz mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
demir cubuk,IS-013,İnşaat demiri / nervürlü çubuk,Demir-Çelik,7214,IN,high,Kangal halinde mi yoksa düz boy mu? || Alaşımlı/paslanmaz mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
demir çubuk,IS-013,İnşaat demiri / nervürlü çubuk,Demir-Çelik,7214,IN,high,Kangal halinde mi yoksa düz boy mu? || Alaşımlı/paslanmaz mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
insaat demiri,IS-013,İnşaat demiri / nervürlü çubuk,Demir-Çelik,7214,IN,high,Kangal halinde mi yoksa düz boy mu? || Alaşımlı/paslanmaz mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
insaat demiri / nervurlu cubuk,IS-013,İnşaat demiri / nervürlü çubuk,Demir-Çelik,7214,IN,high,Kangal halinde mi yoksa düz boy mu? || Alaşımlı/paslanmaz mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
inşaat demiri,IS-013,İnşaat demiri / nervürlü çubuk,Demir-Çelik,7214,IN,high,Kangal halinde mi yoksa düz boy mu? || Alaşımlı/paslanmaz mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
i̇nşaat demiri / nervürlü çubuk,IS-013,İnşaat demiri / nervürlü çubuk,Demir-Çelik,7214,IN,high,Kangal halinde mi yoksa düz boy mu? || Alaşımlı/paslanmaz mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
nervurlu celik,IS-013,İnşaat demiri / nervürlü çubuk,Demir-Çelik,7214,IN,high,Kangal halinde mi yoksa düz boy mu? || Alaşımlı/paslanmaz mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
nervurlu demir,IS-013,İnşaat demiri / nervürlü çubuk,Demir-Çelik,7214,IN,high,Kangal halinde mi yoksa düz boy mu? || Alaşımlı/paslanmaz mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
nervürlü demir,IS-013,İnşaat demiri / nervürlü çubuk,Demir-Çelik,7214,IN,high,Kangal halinde mi yoksa düz boy mu? || Alaşımlı/paslanmaz mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
nervürlü çelik,IS-013,İnşaat demiri / nervürlü çubuk,Demir-Çelik,7214,IN,high,Kangal halinde mi yoksa düz boy mu? || Alaşımlı/paslanmaz mı?,,,https://taxation-customs.ec.europa.eu/document/download/3eb64513-8255-4c71-875a-bd0a8c7ff772_en
